0	0	0	0	0	0	0	1.03951e-320	L	
0.0272518	-0.0272518	0	0	0	0	0	1.76399	R	
1.55942	-0.135787	1.60305	-1.00614e-16	2.08167e-17	1.55945	-0.138501	0.0225922	L	
1.62061	0.0356992	1.84521	-0.0660804	-0.0376689	1.81209	0.0474826	4.07825	R	
3.8915	-0.125484	4.63636	-0.0351119	0.11066	3.89093	-0.134166	0.152367	L	
3.94121	0.182881	4.53533	-0.0294861	0.189294	4.19528	0.218461	8.08106	R	
6.86357	0.418656	6.9505	0.332818	-0.317914	6.86352	0.416817	0.0815147	L	
6.7998	0.487301	7.19938	0.260796	-0.582015	6.43926	0.472879	2.12552	R	
9.07545	0.60009	10.7996	-0.474155	-5.31643	9.07733	0.593211	0.698574	L	
9.03815	0.82919	10.4903	-0.492071	-6.56246	8.89749	0.886982	4.94885	R	
11.5685	1.65368	14.1086	-7.03799	-15.6447	11.5756	1.6669	1.2844	L	
11.5665	1.5158	11.3117	-7.18722	-29.49	11.4447	1.42958	2.22573	R	
13.5934	2.31292	16.0096	-36.7078	-29.5575	13.5921	2.31191	0.192855	L	
13.6266	2.12933	13.4415	-36.4973	-35.6352	13.6572	1.99915	4.0783	R	
16.6417	2.90451	20.569	-71.574	-25.5316	16.6456	2.903	0.765325	L	
16.59	2.89762	21.6047	-71.4591	-30.5803	16.282	2.84648	1.30033	R	
19.0086	3.70745	15.9115	-102.031	-27.0385	19.0106	3.70555	1.37371	L	
19.0545	3.75493	15.6822	-101.981	-34.8212	19.363	3.87122	1.60225	R	
21.3244	4.73121	14.0189	-136.817	-26.2574	21.3312	4.73205	1.40665	L	
21.3689	4.72358	7.82728	-136.443	-74.5196	21.6213	4.74762	1.28791	R	
24.0754	5.56894	10.4994	-210.882	-70.3086	24.0787	5.56967	1.12747	L	
24.1363	5.65419	23.1467	-210.429	-88.0351	24.5601	5.92334	4.56178	R	
26.6052	6.96165	17.9302	-298.456	-86.6786	26.6052	6.96102	0.0134464	L	
26.5985	6.94817	15.2741	-298.76	-79.613	26.5419	6.90075	0.522209	R	
29.587	8.08969	10.5141	-378.392	-78.7764	29.5864	8.08789	0.21371	L	
29.5667	8.12566	6.96283	-378.603	-68.2956	29.4716	8.24519	0.779634	R	
31.7765	9.887	-33.6584	-449.382	262.952	31.9416	9.88017	25.431	L	
31.7842	9.813	-32.0506	-449.407	265.525	31.7928	9.49891	1.96611	R	
34.6157	10.699	-37.2833	-183.881	263.152	34.6157	10.6988	0.110089	L	
34.678	10.7446	-27.7525	-183.484	288.559	35.0599	10.9953	3.15282	R	
37.1405	12.0884	-27.7981	105.075	288.316	37.1404	12.0883	0.000812705	L	
37.1912	12.1184	-9.17999	104.708	301.762	37.4973	12.2943	2.08265	R	
40.3183	13.4727	1.6549	405.931	357.334	40.3285	13.4666	1.40964	L	
40.2602	13.4908	2.67926	405.992	361.655	39.9009	13.6243	1.81353	R	
42.7567	14.8403	-2.57307	767.468	379.633	42.7664	14.8294	2.07483	L	
42.7253	14.8491	0.0242064	767.506	222.437	42.5714	14.9817	1.57657	R	
45.3562	16.5531	5.84775	989.927	225.057	45.3572	16.5524	0.0991876	L	
45.3941	16.5504	2.91469	989.64	390.687	45.649	16.5213	1.38514	R	
48.154	17.286	-2.63962	1380.31	391.241	48.1541	17.2835	0.442466	L	
48.132	17.3072	1.06566	1379.23	76.309	47.9331	17.5349	1.89338	R	
